ID	Uniprot
MDM2	Q00987
U2AF1	Q01081
E2F1	Q01094
FOXK2	Q01167
RUNX1	Q01196
RELB	Q01201
FLI1	Q01543
TFAP4	Q01664
SATB1	Q01826
EWSR1	Q01844
POU5F1	Q01860
SPIB	Q01892
MEF2A	Q02078
MEF2B	Q02080
SP2	Q02086
GUCY1B1	Q02153
ID2	Q02363
SP4	Q02446
SP3	Q02447
ID3	Q02535
PAX5	Q02548
IRF8	Q02556
NHLH1	Q02575
MAP2K1	Q02750
TOP2B	Q02880
CREB5	Q02930
PAX2	Q02962
HHEX	Q03014
POU3F1	Q03052
CREM	Q03060
MLLT1	Q03111
MECOM	Q03112
KMT2A	Q03164
PPARD	Q03181
LMNB2	Q03252
ERCC6	Q03468
CEBPZ	Q03701
ZNF85	Q03923
HSF2	Q03933
ZNF92	Q03936
RELA	Q04206
TLE3	Q04726
EMX1	Q04741
PRKCQ	Q04759
REL	Q04864
UBE3A	Q05086
MXD1	Q05195
EGR4	Q05215
ZBTB16	Q05516
EN1	Q05925
MBTD1	Q05BQ5
RBPJ	Q06330
MEF2C	Q06413
RUNX1T1	Q06455
GABPA	Q06546
GABPB1	Q06547
RING1	Q06587
RAD51	Q06609
PAX8	Q06710
ZNF33A	Q06730
EGR3	Q06889
SOX4	Q06945
ZFP36L1	Q07352
DLX2	Q07687
PPARA	Q07869
SRSF1	Q07955
FOXM1	Q08050
SRSF4	Q08170
SSRP1	Q08945
RBL2	Q08999
RBBP4	Q09028
EP300	Q09472
ZNF816	Q0VGE8
DBP	Q10586
SREBF2	Q12772
FOXO1	Q12778
GTF3C1	Q12789
TFCP2	Q12800
SMARCB1	Q12824
BPTF	Q12830
NFIA	Q12857
TP53BP1	Q12888
ZNF155	Q12901
ILF3	Q12906
FOXF1	Q12946
FOXF2	Q12947
FOXC1	Q12948
NFATC3	Q12968
PRDM2	Q13029
ZBTB17	Q13105
CHAF1A	Q13111
CHAF1B	Q13112
KLF10	Q13118
REST	Q13127
RLF	Q13129
NR1H3	Q13133
TARDBP	Q13148
CBX3	Q13185
TBX2	Q13207
ERCC8	Q13216
SRSF9	Q13242
TRIM28	Q13263
NR5A1	Q13285
SKP2	Q13309
ATM	Q13315
MTA1	Q13330
SP140	Q13342
KLF1	Q13351
CTBP1	Q13363
ZNF211	Q13398
ORC1	Q13415
ORC2	Q13416
ILK	Q13418
IKZF1	Q13422
XRCC4	Q13426
TCOF1	Q13428
NFATC2	Q13469
SMAD4	Q13485
SNAPC2	Q13487
SQSTM1	Q13501
OLIG2	Q13516
HDAC1	Q13547
NEUROD1	Q13562
IRF5	Q13568
CUL4A	Q13619
DYRK1A	Q13627
LAMB3	Q13751
RUNX3	Q13761
NCOA4	Q13772
KLF9	Q13886
KLF5	Q13887
RUNX2	Q13950
CBFB	Q13951
NFYC	Q13952
VEZF1	Q14119
SAFB2	Q14151
TFDP1	Q14186
TFDP2	Q14188
WRN	Q14191
ZMYM3	Q14202
NPAT	Q14207
E2F2	Q14209
TRIM25	Q14258
CSHL1	Q14406
HES1	Q14469
NFE2L1	Q14494
RBM39	Q14498
HIC1	Q14526
HNF4G	Q14541
DMC1	Q14565
MXD4	Q14582
ZNF266	Q14584
IRF3	Q14653
SMC1A	Q14683
NCOA6	Q14686
STAT4	Q14765
CBX2	Q14781
MEF2D	Q14814
CHD4	Q14839
ARID5B	Q14865
DRAP1	Q14919
ZNF169	Q14929
NFATC4	Q14934
ATXN7L3	Q14CW9
SUZ12	Q15022
SETDB1	Q15047
BRD3	Q15059
ZNF146	Q15072
EBP	Q15125
NONO	Q15233
RBBP5	Q15291
IRF4	Q15306
ZMYND11	Q15326
E2F5	Q15329
PCBP1	Q15365
PCBP2	Q15366
SAFB	Q15424
SIX1	Q15475
SS18	Q15532
TAF7	Q15545
TERF2	Q15554
TEAD4	Q15561
TEAD2	Q15562
NCOA2	Q15596
TRIP13	Q15645
HMGN3	Q15651
TWIST1	Q15672
ZNF174	Q15697
ELF2	Q15723
NAB2	Q15742
CEBPE	Q15744
ZKSCAN8	Q15776
NEUROD2	Q15784
NCOA1	Q15788
SMAD2	Q15796
SMAD1	Q15797
USF2	Q15853
EZH2	Q15910
ZFHX3	Q15911
ZBTB6	Q15916
NFE2L2	Q16236
E2F4	Q16254
TAF12	Q16514
BATF	Q16520
CRY1	Q16526
HLF	Q16534
MAPK14	Q16539
ZNF239	Q16600
NFE2	Q16621
SRSF7	Q16629
POU2AF1	Q16633
TAFAZZIN	Q16635
SMN1	Q16637
NFIL3	Q16649
NRF1	Q16656
HIF1A	Q16665
ZSCAN26	Q16670
ME3	Q16798
RFX7	Q2KHR2
ZNF423	Q2M1K9
ZXDC	Q2QGD7
ZNF791	Q3KP31
ZNF792	Q3KQV3
ZNF528	Q3MIS6
ZSCAN23	Q3MJ62
ZIK1	Q3SY52
ZNF260	Q3ZCT1
ZNF404	Q494X3
ZBED5	Q49AG3
LARP7	Q4G0J3
ARID4B	Q4LE39
GREB1	Q4ZG55
ZNF585B	Q52M93
CRTC2	Q53ET0
ZNF394	Q53GI3
COBLL1	Q53SF7
ESCO2	Q56NI9
ZNF766	Q5HY98
ZNF667	Q5HYK9
ZNF311	Q5JNZ3
KLF17	Q5JT82
SNAPC4	Q5SXM2
ZNF362	Q5T0B9
HIVEP3	Q5T1R4
ZNF618	Q5T7W0
INTS11	Q5TA45
HES5	Q5TA89
ZNF697	Q5TEC3
LIN9	Q5TKA1
ZNF658	Q5TYW1
GFI1B	Q5VTD9
ZNF318	Q5VUA4
TAF3	Q5VWG9
E4F1	Q66K89
ARID2	Q68CP9
ZNF776	Q68DI1
ZNF626	Q68DY1
ZNF518A	Q6AHZ1
ZNF660	Q6AZW8
SP5	Q6BEB4
PLAG1	Q6DJT9
NCAPH2	Q6IBW4
ZNF770	Q6IQ21
GRHL2	Q6ISB3
NIPBL	Q6KC79
TET2	Q6N021
ZNF280D	Q6N043
HMBOX1	Q6NT76
ZNF746	Q6NUN9
ZNF774	Q6NX45
ZNF544	Q6NX49
JMJD6	Q6NYC1
CAVIN1	Q6NZI2
CDC73	Q6P1J9
CC2D1A	Q6P1N0
ZNF529	Q6P280
ZFP1	Q6P2D0
NFRKB	Q6P4R8
ZNF530	Q6P9A1
ZNF549	Q6P9A3
ZNF449	Q6P9G9
CTR9	Q6PD62
FOXR2	Q6PJQ5
SLC30A9	Q6PML9
ZNF322	Q6U7Q0
FIP1L1	Q6UN15
ATF7IP	Q6VMQ6
DPPA3	Q6W0C5
BCOR	Q6W2J9
KDM7A	Q6ZMT4
AEBP2	Q6ZN18
ZNF574	Q6ZN55
NFXL1	Q6ZNB6
ZNF704	Q6ZNC4
ZNF600	Q6ZNG1
ZNF493	Q6ZR52
SRCAP	Q6ZRS2
ZNF662	Q6ZS27
ZBTB49	Q6ZSB9
ZNF621	Q6ZSS3
TSHZ1	Q6ZSZ6
CREB3L2	Q70SY1
MED25	Q71SY5
ASXL2	Q76L83
SUPT6H	Q7KZ85
KDM3B	Q7LBC6
PHF5A	Q7RTV0
SETX	Q7Z333
MIER3	Q7Z3K6
ZNF571	Q7Z3V5
HDGFL2	Q7Z4V5
EMSY	Q7Z589
WAPL	Q7Z5K2
IRF2BP2	Q7Z5L9
ZNF467	Q7Z7K2
ZSCAN2	Q7Z7L9
PCGF5	Q86SE9
ZBTB33	Q86T24
ZNF554	Q86TJ5
METTL3	Q86U44
LDB1	Q86U70
PBRM1	Q86U86
ZNF329	Q86UD4
ZNF589	Q86UQ0
CASZ1	Q86V15
ZNF410	Q86VK4
ZSCAN30	Q86W11
CARM1	Q86X55
ZNF677	Q86XU0
ZNF354C	Q86Y25
PALB2	Q86YC2
GATAD2A	Q86YP4
ZNF584	Q8IVC4
ZNF547	Q8IVP9
ARID3B	Q8IVW6
MGA	Q8IWI9
PHF6	Q8IWS0
ZSCAN29	Q8IWY8
HOMEZ	Q8IX15
PHC2	Q8IXK0
ZNF595	Q8IYB9
ZZZ3	Q8IYH5
TRIM22	Q8IYM9
RCOR2	Q8IZ40
ZNF101	Q8IZC7
ZNF654	Q8IZM8
MYOCD	Q8IZQ8
ZNF444	Q8N0Y2
MIER1	Q8N108
ZFP82	Q8N141
BCL6B	Q8N143
CCAR2	Q8N163
SIX5	Q8N196
ZNF687	Q8N1G0
BATF2	Q8N1L9
OSR2	Q8N2R0
PIAS4	Q8N2W9
MIER2	Q8N344
ZNF664	Q8N3J9
STAG2	Q8N3U4
LCORL	Q8N3X6
PGBD5	Q8N414
ZNF843	Q8N446
RYBP	Q8N488
ZNF561	Q8N587
ZGPAT	Q8N5A5
ZC3H8	Q8N5P1
ZBTB2	Q8N680
SIRT6	Q8N6T7
CBLL2	Q8N7E2
PAF1	Q8N7H5
ZNF433	Q8N7K0
